,product_category(1),product_category(2),product_category(3),product_category(4),product_category(5),product_category(6)
336,1,9,66,910,442,89
337,3,8,77,910,442,89
338,22,145,699,910,442,89
339,22,145,699,910,442,89
340,22,145,699,910,442,89
341,22,145,699,910,442,89
342,3,3,2,2,442,89
343,22,145,699,910,442,89
344,10,25,45,62,442,89
345,9,31,54,36,442,89
346,2,2,47,27,442,89
347,4,14,13,63,442,89
348,9,31,80,64,442,89
349,4,28,76,910,442,89
350,1,1,699,910,442,89
351,22,145,699,910,442,89
352,2,2,1,9,15,89
353,22,145,699,910,442,89
354,4,28,81,910,442,89
355,22,145,699,910,442,89
356,4,5,82,910,442,89
357,3,16,16,910,442,89
358,8,24,23,910,442,89
359,12,30,37,65,16,89
360,22,145,699,910,442,89
361,22,145,699,910,442,89
362,22,145,699,910,442,89
363,4,5,83,910,442,89
364,1,17,17,910,442,89
365,22,145,699,910,442,89
366,22,145,699,910,442,89
367,22,145,699,910,442,89
368,3,16,16,910,442,89
369,22,145,699,910,442,89
370,14,41,60,44,442,89
371,1,1,699,910,442,89
372,2,2,1,15,17,89
373,22,145,699,910,442,89
374,4,28,33,18,442,89
375,22,145,699,910,442,89
376,9,31,84,66,442,89
377,4,5,72,67,442,89
378,1,9,49,31,442,89
379,4,48,85,68,442,89
380,22,145,699,910,442,89
381,1,9,53,38,442,89
382,1,9,73,910,442,89
383,3,43,86,69,18,89
384,22,145,699,910,442,89
385,3,49,87,910,442,89
386,22,145,699,910,442,89
387,22,145,699,910,442,89
388,8,50,88,910,442,89
389,8,15,15,910,442,89
390,16,51,699,910,442,89
391,22,145,699,910,442,89
392,9,31,89,70,442,89
393,4,14,36,71,442,89
394,22,145,699,910,442,89
395,22,145,699,910,442,89
396,1,9,49,31,442,89
397,1,9,8,910,442,89
398,4,52,699,910,442,89
399,1,1,699,910,442,89
400,10,25,45,72,442,89
401,10,25,45,62,442,89
402,22,145,699,910,442,89
403,22,145,699,910,442,89
404,4,42,63,73,442,89
405,22,145,699,910,442,89
406,2,2,47,74,19,89
407,22,145,699,910,442,89
408,22,145,699,910,442,89
409,2,2,1,75,20,2
410,5,53,90,910,442,89
411,8,50,91,910,442,89
412,1,1,699,910,442,89
413,22,145,699,910,442,89
414,4,14,13,8,2,89
415,4,42,63,76,442,89
416,22,145,699,910,442,89
417,22,145,699,910,442,89
418,3,3,2,2,442,89
419,1,1,699,910,442,89
420,22,145,699,910,442,89
421,12,30,37,28,21,89
422,22,145,699,910,442,89
423,22,145,699,910,442,89
424,1,1,699,910,442,89
425,2,2,9,32,442,89
426,10,25,45,77,442,89
427,4,14,13,8,2,89
428,22,145,699,910,442,89
429,3,18,18,7,442,89
430,22,145,699,910,442,89
431,11,54,92,78,442,89
432,8,34,93,910,442,89
433,1,9,66,910,442,89
434,22,145,699,910,442,89
435,22,145,699,910,442,89
436,9,13,94,910,442,89
437,4,5,79,61,442,89
438,22,145,699,910,442,89
439,22,145,699,910,442,89
440,22,145,699,910,442,89
441,6,21,699,910,442,89
442,3,3,2,2,442,89
443,3,3,2,2,442,89
444,17,55,95,910,442,89
445,3,3,2,2,442,89
446,1,29,96,910,442,89
447,9,31,89,70,442,89
448,22,145,699,910,442,89
449,4,14,13,79,442,89
450,4,28,33,18,442,89
451,3,12,67,80,22,89
452,1,9,66,910,442,89
453,4,26,29,81,23,89
454,1,9,66,910,442,89
455,22,145,699,910,442,89
456,5,45,97,910,442,89
457,22,145,699,910,442,89
458,22,145,699,910,442,89
459,3,8,57,910,442,89
460,3,49,98,910,442,89
461,1,1,699,910,442,89
462,1,9,8,910,442,89
463,8,24,23,910,442,89
464,8,24,23,910,442,89
465,8,56,99,910,442,89
466,22,145,699,910,442,89
467,22,145,699,910,442,89
468,11,27,100,82,442,89
469,22,145,699,910,442,89
470,22,145,699,910,442,89
471,3,3,2,2,442,89
472,22,145,699,910,442,89
473,22,145,699,910,442,89
474,1,1,699,910,442,89
475,3,3,2,2,442,89
476,22,145,699,910,442,89
477,10,25,24,53,24,89
478,22,145,699,910,442,89
479,22,145,699,910,442,89
480,22,145,699,910,442,89
481,22,145,699,910,442,89
482,22,145,699,910,442,89
483,3,8,77,910,442,89
484,9,31,54,50,442,89
485,22,145,699,910,442,89
486,4,14,13,83,442,89
487,1,9,66,910,442,89
488,22,145,699,910,442,89
489,12,30,37,65,25,89
490,22,145,699,910,442,89
491,22,145,699,910,442,89
492,22,145,699,910,442,89
493,8,57,101,910,442,89
494,5,40,52,34,442,89
495,3,12,67,84,26,89
496,8,11,102,910,442,89
497,4,42,63,73,442,89
498,22,145,699,910,442,89
499,4,48,699,910,442,89
500,1,23,22,910,442,89
501,5,6,103,910,442,89
502,10,25,24,85,27,89
503,3,18,18,7,442,89
504,4,14,13,25,442,89
505,22,145,699,910,442,89
506,5,39,51,910,442,89
507,22,145,699,910,442,89
508,4,42,63,73,442,89
509,22,145,699,910,442,89
510,5,53,104,910,442,89
511,6,21,699,910,442,89
512,3,12,67,54,28,89
513,22,145,699,910,442,89
514,6,21,699,910,442,89
515,22,145,699,910,442,89
516,1,1,699,910,442,89
517,3,58,699,910,442,89
518,3,3,2,2,442,89
519,1,9,53,86,442,89
520,3,12,105,87,442,89
521,8,11,43,910,442,89
522,22,145,699,910,442,89
523,1,9,8,910,442,89
524,22,145,699,910,442,89
525,22,145,699,910,442,89
526,10,25,45,88,442,89
527,22,145,699,910,442,89
528,3,18,18,26,442,89
529,22,145,699,910,442,89
530,22,145,699,910,442,89
531,22,145,699,910,442,89
532,22,145,699,910,442,89
533,8,34,93,910,442,89
534,22,145,699,910,442,89
535,2,2,47,27,442,89
536,1,9,49,31,442,89
537,22,145,699,910,442,89
538,22,145,699,910,442,89
539,22,145,699,910,442,89
540,4,14,13,11,442,89
541,22,145,699,910,442,89
542,22,145,699,910,442,89
543,22,145,699,910,442,89
544,22,145,699,910,442,89
545,22,145,699,910,442,89
546,3,3,2,2,442,89
547,22,145,699,910,442,89
548,22,145,699,910,442,89
549,22,145,699,910,442,89
550,22,145,699,910,442,89
551,4,28,76,910,442,89
552,8,34,106,910,442,89
553,1,9,66,910,442,89
554,4,28,76,910,442,89
555,22,145,699,910,442,89
556,5,59,107,910,442,89
557,22,145,699,910,442,89
558,3,12,67,80,29,89
559,22,145,699,910,442,89
560,22,145,699,910,442,89
561,22,145,699,910,442,89
562,22,145,699,910,442,89
563,22,145,699,910,442,89
564,8,11,10,910,442,89
565,22,145,699,910,442,89
566,22,145,699,910,442,89
567,1,9,49,31,442,89
568,22,145,699,910,442,89
569,3,60,108,910,442,89
570,1,9,14,910,442,89
571,22,145,699,910,442,89
572,22,145,699,910,442,89
573,2,2,1,9,15,89
574,22,145,699,910,442,89
575,8,24,23,910,442,89
576,1,9,8,910,442,89
577,1,9,14,910,442,89
578,4,14,13,8,30,89
579,10,25,45,89,442,89
580,10,25,45,43,442,89
581,1,9,14,910,442,89
582,4,38,48,30,442,89
583,13,61,109,910,442,89
584,22,145,699,910,442,89
585,22,145,699,910,442,89
586,22,145,699,910,442,89
587,1,9,65,90,442,89
588,22,145,699,910,442,89
589,22,145,699,910,442,89
590,22,145,699,910,442,89
591,3,8,7,910,442,89
592,22,145,699,910,442,89
593,1,23,22,910,442,89
594,22,145,699,910,442,89
595,1,1,699,910,442,89
596,4,14,13,25,442,89
597,22,145,699,910,442,89
598,22,145,699,910,442,89
599,6,21,699,910,442,89
600,4,47,110,910,442,89
601,2,2,47,91,442,89
602,22,145,699,910,442,89
603,22,145,699,910,442,89
604,22,145,699,910,442,89
605,22,145,699,910,442,89
606,22,145,699,910,442,89
607,1,9,49,31,442,89
608,22,145,699,910,442,89
609,22,145,699,910,442,89
610,22,145,699,910,442,89
611,4,38,48,92,442,89
612,22,145,699,910,442,89
613,3,8,7,910,442,89
614,2,2,1,9,3,89
615,3,3,2,5,31,89
616,8,11,102,910,442,89
617,3,16,111,93,32,89
618,22,145,699,910,442,89
619,22,145,699,910,442,89
620,3,16,32,910,442,89
621,10,25,45,94,442,89
622,4,62,112,910,442,89
623,1,1,699,910,442,89
624,10,25,45,95,442,89
625,22,145,699,910,442,89
626,22,145,699,910,442,89
627,22,145,699,910,442,89
628,9,31,54,50,442,89
629,1,1,699,910,442,89
630,22,145,699,910,442,89
631,22,145,699,910,442,89
632,22,145,699,910,442,89
633,1,9,8,910,442,89
634,10,25,45,72,442,89
635,22,145,699,910,442,89
636,22,145,699,910,442,89
637,12,30,37,96,442,89
638,22,145,699,910,442,89
639,22,145,699,910,442,89
640,22,145,699,910,442,89
641,3,3,2,2,442,89
642,9,31,54,97,442,89
643,22,145,699,910,442,89
644,22,145,699,910,442,89
645,22,145,699,910,442,89
646,12,30,37,65,33,3
647,22,145,699,910,442,89
648,22,145,699,910,442,89
649,4,14,13,11,442,89
650,22,145,699,910,442,89
651,3,3,2,2,442,89
652,22,145,699,910,442,89
653,2,2,1,98,442,89
654,1,1,699,910,442,89
655,3,3,2,2,442,89
656,8,63,113,910,442,89
657,11,64,114,910,442,89
658,22,145,699,910,442,89
659,22,145,699,910,442,89
660,22,145,699,910,442,89
661,4,14,59,41,34,89
662,8,24,23,910,442,89
663,22,145,699,910,442,89
664,22,145,699,910,442,89
665,22,145,699,910,442,89
666,4,14,59,41,35,89
667,22,145,699,910,442,89
668,17,65,115,910,442,89
669,22,145,699,910,442,89
670,22,145,699,910,442,89
671,10,25,45,88,442,89
672,4,14,116,99,442,89
673,12,30,37,28,9,89
674,22,145,699,910,442,89
675,5,6,5,910,442,89
676,8,15,117,910,442,89
677,9,31,54,36,442,89
678,8,11,118,910,442,89
679,22,145,699,910,442,89
680,4,5,119,910,442,89
681,3,16,16,910,442,89
682,9,31,54,36,442,89
683,22,145,699,910,442,89
684,1,9,30,910,442,89
685,22,145,699,910,442,89
686,1,1,699,910,442,89
687,3,12,120,100,442,89
688,4,14,13,101,442,89
689,8,15,117,910,442,89
690,3,8,7,910,442,89
691,22,145,699,910,442,89
692,1,1,699,910,442,89
693,9,31,54,50,442,89
694,22,145,699,910,442,89
695,3,8,7,910,442,89
696,3,12,78,102,442,89
697,11,27,121,103,442,89
698,22,145,699,910,442,89
699,3,3,2,5,1,89
700,22,145,699,910,442,89
701,22,145,699,910,442,89
702,1,1,699,910,442,89
703,3,3,2,2,442,89
704,6,21,699,910,442,89
705,22,145,699,910,442,89
706,22,145,699,910,442,89
707,22,145,699,910,442,89
708,2,2,1,9,8,89
709,4,42,63,73,442,89
710,3,16,16,910,442,89
711,22,145,699,910,442,89
712,8,15,122,910,442,89
713,4,14,116,99,442,89
714,22,145,699,910,442,89
715,22,145,699,910,442,89
716,22,145,699,910,442,89
717,22,145,699,910,442,89
718,3,3,2,2,442,89
719,22,145,699,910,442,89
720,8,15,15,910,442,89
721,3,8,77,910,442,89
722,8,63,123,910,442,89
723,3,49,98,910,442,89
724,3,3,2,2,442,89
725,3,3,2,2,442,89
726,3,3,2,2,442,89
727,12,30,37,28,36,89
728,22,145,699,910,442,89
729,4,14,116,99,442,89
730,1,9,66,910,442,89
731,1,9,8,910,442,89
732,7,10,699,910,442,89
733,5,6,103,910,442,89
734,22,145,699,910,442,89
735,22,145,699,910,442,89
736,3,18,25,104,442,89
737,22,145,699,910,442,89
738,5,39,62,910,442,89
739,22,145,699,910,442,89
740,8,56,99,910,442,89
741,1,1,699,910,442,89
742,22,145,699,910,442,89
743,22,145,699,910,442,89
744,22,145,699,910,442,89
745,22,145,699,910,442,89
746,22,145,699,910,442,89
747,22,145,699,910,442,89
748,22,145,699,910,442,89
749,22,145,699,910,442,89
750,22,145,699,910,442,89
751,1,9,30,910,442,89
752,1,1,699,910,442,89
753,22,145,699,910,442,89
754,11,54,92,78,442,89
755,22,145,699,910,442,89
756,22,145,699,910,442,89
757,22,145,699,910,442,89
758,2,2,1,9,15,89
759,4,48,85,68,442,89
760,2,2,1,9,37,89
761,4,14,13,63,442,89
762,11,27,124,105,442,89
763,22,145,699,910,442,89
764,1,23,22,910,442,89
765,4,5,125,910,442,89
766,11,66,126,910,442,89
767,22,145,699,910,442,89
768,4,14,13,11,442,89
769,9,31,89,70,442,89
770,8,15,15,910,442,89
771,22,145,699,910,442,89
772,22,145,699,910,442,89
773,3,49,127,106,38,89
774,22,145,699,910,442,89
775,1,1,699,910,442,89
776,22,145,699,910,442,89
777,3,3,2,2,442,89
778,8,15,15,910,442,89
779,3,67,128,910,442,89
780,1,9,66,910,442,89
781,22,145,699,910,442,89
782,1,1,699,910,442,89
783,22,145,699,910,442,89
784,3,3,2,2,442,89
785,3,3,2,5,39,89
786,22,145,699,910,442,89
787,12,30,37,107,442,89
788,22,145,699,910,442,89
789,8,68,129,910,442,89
790,3,12,105,108,442,89
791,4,14,13,109,40,89
792,22,145,699,910,442,89
793,22,145,699,910,442,89
794,22,145,699,910,442,89
795,5,39,62,910,442,89
796,22,145,699,910,442,89
797,3,18,18,26,442,89
798,4,14,59,41,41,89
799,22,145,699,910,442,89
800,12,30,37,96,442,89
801,12,30,130,110,42,89
802,22,145,699,910,442,89
803,1,1,699,910,442,89
804,4,28,33,18,442,89
805,3,3,2,2,442,89
806,1,9,66,910,442,89
807,22,145,699,910,442,89
808,22,145,699,910,442,89
809,22,145,699,910,442,89
810,22,145,699,910,442,89
811,17,65,131,111,442,89
812,22,145,699,910,442,89
813,22,145,699,910,442,89
814,1,1,699,910,442,89
815,22,145,699,910,442,89
816,4,14,13,112,442,89
817,2,2,1,9,3,89
818,22,145,699,910,442,89
819,1,1,699,910,442,89
820,1,9,65,113,442,89
821,22,145,699,910,442,89
822,22,145,699,910,442,89
823,14,41,132,114,442,89
824,22,145,699,910,442,89
825,4,5,133,115,442,89
826,22,145,699,910,442,89
827,10,25,45,24,442,89
828,3,3,2,2,442,89
829,22,145,699,910,442,89
830,22,145,699,910,442,89
831,3,8,77,910,442,89
832,22,145,699,910,442,89
833,3,3,2,2,442,89
834,22,145,699,910,442,89
835,22,145,699,910,442,89
836,22,145,699,910,442,89
837,1,1,699,910,442,89
838,3,58,699,910,442,89
839,1,9,30,910,442,89
840,4,48,699,910,442,89
841,11,27,134,910,442,89
842,2,2,1,9,3,89
843,6,21,699,910,442,89
844,2,2,47,27,442,89
845,3,12,67,84,43,89
846,22,145,699,910,442,89
847,22,145,699,910,442,89
848,22,145,699,910,442,89
849,3,3,2,2,442,89
850,1,9,66,910,442,89
851,8,24,46,910,442,89
852,22,145,699,910,442,89
853,8,11,135,116,442,89
854,8,24,23,910,442,89
855,3,3,2,2,442,89
856,1,1,699,910,442,89
857,22,145,699,910,442,89
858,22,145,699,910,442,89
859,8,24,23,910,442,89
860,22,145,699,910,442,89
861,1,1,699,910,442,89
862,4,5,136,910,442,89
863,22,145,699,910,442,89
864,1,1,699,910,442,89
865,1,69,137,910,442,89
866,1,1,699,910,442,89
867,6,21,699,910,442,89
868,4,14,116,117,442,89
869,3,3,2,2,442,89
870,22,145,699,910,442,89
871,1,9,8,910,442,89
872,22,145,699,910,442,89
873,22,145,699,910,442,89
874,5,53,138,910,442,89
875,1,9,66,910,442,89
876,22,145,699,910,442,89
877,1,9,8,910,442,89
878,22,145,699,910,442,89
879,22,145,699,910,442,89
880,1,9,49,31,442,89
881,22,145,699,910,442,89
882,1,1,699,910,442,89
883,4,47,110,910,442,89
884,22,145,699,910,442,89
885,22,145,699,910,442,89
886,22,145,699,910,442,89
887,22,145,699,910,442,89
888,22,145,699,910,442,89
889,3,3,2,2,442,89
890,22,145,699,910,442,89
891,1,9,53,118,442,89
892,4,42,63,76,442,89
893,22,145,699,910,442,89
894,18,70,139,910,442,89
895,1,1,699,910,442,89
896,22,145,699,910,442,89
897,22,145,699,910,442,89
898,3,12,67,119,44,89
899,9,31,84,120,442,89
900,6,21,699,910,442,89
901,22,145,699,910,442,89
902,22,145,699,910,442,89
903,22,145,699,910,442,89
904,22,145,699,910,442,89
905,1,17,140,910,442,89
906,3,3,2,2,442,89
907,3,3,2,2,442,89
908,22,145,699,910,442,89
909,4,5,141,910,442,89
910,1,9,14,910,442,89
911,2,20,142,121,442,89
912,22,145,699,910,442,89
913,1,17,143,910,442,89
914,1,9,66,910,442,89
915,4,38,144,122,442,89
916,22,145,699,910,442,89
917,12,30,145,910,442,89
918,4,28,33,123,442,89
919,22,145,699,910,442,89
920,22,145,699,910,442,89
921,22,145,699,910,442,89
922,1,9,49,31,442,89
923,1,1,699,910,442,89
924,5,6,5,910,442,89
925,22,145,699,910,442,89
926,3,3,2,2,442,89
927,4,5,119,910,442,89
928,22,145,699,910,442,89
929,19,71,146,124,442,89
930,4,14,59,41,35,89
931,4,4,147,910,442,89
932,8,24,23,910,442,89
933,22,145,699,910,442,89
934,5,59,107,910,442,89
935,22,145,699,910,442,89
936,22,145,699,910,442,89
937,8,15,15,910,442,89
938,22,145,699,910,442,89
939,8,11,10,910,442,89
940,22,145,699,910,442,89
941,1,9,55,37,442,89
942,22,145,699,910,442,89
943,22,145,699,910,442,89
944,1,9,66,910,442,89
945,3,3,2,5,1,89
946,1,17,140,910,442,89
947,1,9,49,31,442,89
948,3,3,2,2,442,89
949,3,18,148,125,45,89
950,2,2,1,75,46,4
951,8,72,699,910,442,89
952,22,145,699,910,442,89
953,4,28,33,18,442,89
954,5,73,149,910,442,89
955,4,14,59,41,41,89
956,4,38,48,30,442,89
957,22,145,699,910,442,89
958,12,30,37,20,47,89
959,22,145,699,910,442,89
960,4,14,13,29,442,89
961,3,8,77,910,442,89
962,22,145,699,910,442,89
963,22,145,699,910,442,89
964,8,11,10,910,442,89
965,5,40,52,34,442,89
966,8,36,44,910,442,89
967,11,66,126,910,442,89
968,9,13,150,910,442,89
969,22,145,699,910,442,89
970,8,50,88,910,442,89
971,5,39,62,910,442,89
972,1,23,40,910,442,89
973,3,18,18,26,442,89
974,22,145,699,910,442,89
975,4,14,13,79,442,89
976,1,9,8,910,442,89
977,9,31,54,42,442,89
978,5,22,151,910,442,89
979,4,14,13,101,442,89
980,22,145,699,910,442,89
981,22,145,699,910,442,89
982,1,17,140,910,442,89
983,2,2,1,98,442,89
984,1,1,699,910,442,89
985,2,2,1,9,3,89
986,22,145,699,910,442,89
987,22,145,699,910,442,89
988,4,5,72,126,442,89
989,22,145,699,910,442,89
990,4,26,152,127,442,89
991,22,145,699,910,442,89
992,8,50,91,910,442,89
993,6,74,699,910,442,89
